Station_Name,Serial_No
VTU-110,NABDM0101
VTU-110,NABDM0102
VTU-110,NABDM0103
VTU-110,NABDM0104
VTU-110,NABDM0105
VTU-110,NABDM0106
VTU-110,NABDM0107
VTU-110,NABDM0108
VTU-110,NABDM0109
VTU-110,NABDM0110
VTU-110,NABDM0111
VTU-110,NABDM0469
VTU-110,NABDM0470
VTU-110,NABDM0472
VTU-110,NABDM0473
VTU-110,NABDM0474
VTU-110,NABDM0475
VTU-110,NABDM0476
VTU-110,NABDM0477
VTU-110,NABDM0479
VTU-110,NABDM0480
VTU-110,NABDM0481
VTU-110,NABDM0482
VTU-110,NABDM0483
VTU-110,NABDM0485
VTU-110,NABDM0486
VTU-110,NABDM1306
VTU-110,NABDM1307
VTU-110,NABDM1308
VTU-110,NABDM1309
VTU-110,NABDM1310
VTU-110,NABDM1311
VTU-110,NABDM1315
VTU-110,NABDM1317
VTU-110,NABDM1319
VTU-110,NABDM1320
VTU-110,NABDM1321
VTU-110,NABDM1322
VTU-110,NABDM1323
VTU-110,NABDM1324
VTU-110,NABDM1325
VTU-110,NABDM1326
VTU-110,NABDM1327
VTU-110,NABDM1328
VTU-110,NABDM1329
VTU-110,NABDM1331
VTU-110,NABDM2045
VTU-110,NABDM2054
VTU-110,NABDM2055
VTU-110,NABDM2056
VTU-110,NABDM2445
VTU-110,NABDM2446
VTU-110,NABDM2447
VTU-110,NABDM2448
VTU-110,NABDM2449
VTU-110,NABDM2450
VTU-110,NABDM2451
VTU-110,NABDM2452
VTU-110,NABDM2453
VTU-110,NABDM2454
VTU-110,NABDM2455
VTU-110,NABDM2456
VTU-110,NABDM2457
VTU-110,NABDM2458
VTU-110,NABDM2459
VTU-110,NABDM2460
VTU-110,NABDM4714
VTU-110,NABDM4715
VTU-110,NABDM4716
VTU-110,NABDM5313
VTU-110,NABDM5314
VTU-110,NABDM5315
VTU-110,NABDM5316
VTU-110,NABDM5317
VTU-110,NABDM5318
VTU-110,NABDM5319
VTU-110,NABDM5320
VTU-110,NABDM5321
VTU-110,NABDM5358
VTU-110,NABDM5359
VTU-110,NABDM5360
VTU-110,NABDM5362
VTU-110,NABKD0035
VTU-110,NABKD0036
VTU-110,NABKD0039
VTU-110,NABKD0282
VTU-110,NABKD0283
VTU-110,NABKE0207
VTU-110,NABKE0208
VTU-110,NABKE0209
VTU-110,NABKE0210
VTU-110,NABKE0211
VTU-110,NABKE0212
VTU-110,NABKE0213
VTU-110,NABKE0214
VTU-110,NABKE0215
VTU-110,NABKE0216
VTU-110,NABKE0402
VTU-110,NABKE0403
VTU-110,NABKE0407
VTU-110,NABKE0807
VTU-110,NABKE0809
VTU-110,NABKE0811
VTU-110,NABKE0813
VTU-110,NABKE0814
VTU-110,NABKE0815
VTU-110,NABKE0817
VTU-110,NABKE0818
VTU-110,NABKE0820
VTU-110,NABKE0821
VTU-110,NABKE0822
VTU-110,NABKE0824
VTU-110,NABKE0825
VTU-110,NABKE0826
VTU-110,NABKE0827
VTU-110,NABKE0828
VTU-110,NABKE0829
VTU-110,NABKE0830
VTU-110,NABKE0831
VTU-110,NABKE0832
VTU-110,NABKE0834
VTU-110,NABKE0835
VTU-110,NABKE0836
VTU-110,NABKE0837
VTU-110,NABKE0838
VTU-110,NABKE0839
VTU-110,NABKE0840
VTU-110,NABKE0842
VTU-110,NABKE1053
VTU-110,NABKE1054
VTU-110,NABKE1055
VTU-110,NABKE1056
VTU-110,NABKE1057
VTU-110,NABKE1058
VTU-110,NABKE1060
VTU-110,NABKE1061
VTU-110,NABKE1062
VTU-110,NABKE1063
VTU-110,NABKE1064
VTU-110,NABKE1065
VTU-110,NABKE1066
VTU-110,NABKE1067
VTU-110,NABKE1068
VTU-110,NABKE1069
VTU-110,NABKE1072
VTU-110,NABKE1073
VTU-110,NABKE1074
VTU-110,NABKE1075
VTU-110,NABKE1076
VTU-110,NABKE1077
VTU-110,NABKE1078
VTU-110,NABKE1079
VTU-110,NABKE1080
VTU-110,NABKE1082
VTU-110,NABKE1083
VTU-110,NABKE1084
VTU-110,NABKE1085
VTU-110,NABKE1086
VTU-110,NABKE1087
VTU-110,NABKE1088
VTU-110,NABKE1089
VTU-110,NABKE1282
VTU-110,NABKE1283
VTU-110,NABKE1284
VTU-110,NABKE1285
VTU-110,NABKE1286
VTU-110,NABKE1287
VTU-110,NABKE1288
VTU-110,NABKE1289
VTU-110,NABKE1290
VTU-110,NABKE1291
VTU-110,NABKE1292
VTU-110,NABKE1293
VTU-110,NABKE1296
VTU-110,NABKE1297
VTU-110,NABKE1366
VTU-110,NABKE1471
VTU-110,NABKE1472
VTU-110,NABKE1473
VTU-110,NABKE1474
VTU-110,NABKE1475
VTU-110,NABKE1477
VTU-110,NABKE1478
VTU-110,NABKE1479
VTU-110,NABKE1480
VTU-110,NABKE1481
VTU-110,NABKE1482
VTU-110,NABKE1483
VTU-110,NABKE1484
VTU-110,NABKE1485
VTU-110,NABKE1486
VTU-110,NABKE1487
VTU-110,NABKE1488
VTU-110,NABKE1489
VTU-110,NABKE1490
VTU-110,NABKE1491
VTU-110,NABKE1492
VTU-110,NABKE1493
VTU-110,NABKE1494
VTU-110,NABKE1495
VTU-110,NABKE1681
VTU-110,NABKE1686
VTU-110,NABKE1687
VTU-110,NABKE1689
VTU-110,NABKE1690
VTU-110,NABKE1691
VTU-110,NABKE1692
VTU-110,NABKE1693
VTU-110,NABKE1694
VTU-110,NABKE1696
VTU-110,NABKE1697
VTU-110,NABKE1698
VTU-110,NABKE1704
VTU-110,NABKE1705
VTU-110,NABKE1706
VTU-110,NABKE1707
VTU-110,NABKE1708
VTU-110,NABKE1709
VTU-110,NABKE1728
VTU-110,NABKE1729
VTU-110,NABKE1730
VTU-110,NABKE1731
VTU-110,NABKE1733
VTU-110,NABKE1734
VTU-110,NABKE1735
VTU-110,NABKE1736
VTU-110,NABKE1737
VTU-110,NABKE1738
VTU-110,NABKE1739
VTU-110,NABKE1740
VTU-110,NABKE1741
VTU-110,NABKE1742
VTU-110,NABKE1743
VTU-110,NABKE1744
VTU-110,NABKE1745
VTU-110,NABKE1746
VTU-110,NABKE2682
VTU-110,NABKE2683
VTU-110,NABKE2684
VTU-110,NABKE2685
VTU-110,NABKE4717
VTU-110,NABKE4718
VTU-110,NABKE4719
VTU-110,NABKE4720
VTU-110,NABKE4721
VTU-110,NABKE4722
VTU-110,NABKE4723
VTU-110,NABKE4724
VTU-110,NABKE4725
VTU-110,NABKE4726
VTU-110,NABKE4727
VTU-110,NABKE4728
VTU-110,NABKE4729
VTU-110,NABKE4730
VTU-110,NABKE4731
VTU-110,NABKE4732
VTU-110,NABKE4733
VTU-110,NABKE4734
VTU-110,NABKE4735
VTU-110,NABKE4736
VTU-110,NABKE4737
VTU-110,NABKE4738
VTU-110,NABKE4739
VTU-110,NABKE4740
VTU-110,NABKE4741
VTU-110,NABKE4742
VTU-110,NABKE4743
VTU-110,NABKE4744
VTU-110,NABKE4745
VTU-110,NABKE4746
VTU-110,NABKE4747
VTU-110,NABKE4748
VTU-110,NABKE4749
VTU-110,NABKE4750
VTU-110,NABKE4753
VTU-110,NABKE4754
VTU-110,NABKE4755
VTU-110,NABKE4756
VTU-110,NABKE5212
VTU-110,NABKE5214
VTU-110,NABKE5215
VTU-110,NABKE5218
VTU-110,NABKE5219
VTU-110,NABKE5220
VTU-110,NABKE5221
VTU-110,NABKE5222
VTU-110,NABKE5225
VTU-110,NABKE5226
VTU-110,NABKE5228
VTU-110,NABKE5229
